step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1
0,[-50.  40.   0.],20.0000,3.0000,[-50.  20.   0.],20.0000,3.0000,[-50.   0.   0.],20.0000,3.0000,[-50. -20.   0.],20.0000,2.0000
1,[-49.  40.   0.],20.0000,3.0000,[-49.  20.   0.],20.0000,3.0000,[-49.   0.   0.],20.0000,3.0000,[-50. -20.   0.],20.0000,2.0000
2,[-47.908447  40.024513   6.157808],20.0000,3.0000,[-47.908447  20.024515   6.157808],20.0000,3.0000,[-4.7908447e+01  2.4514958e-02  6.1578078e+00],20.0000,3.0000,[-49.30282   -19.949398    6.0364184],20.0000,2.0000
3,[-46.818954   39.939648    6.0227113],20.0000,3.0000,[-46.818954   19.939646    6.0227113],20.0000,3.0000,[-46.818954    -0.06035394   6.0227113 ],20.0000,6.0000,[-48.64358  -20.006083   5.777385],20.0000,3.0000
4,[-45.74399    39.734425    5.8890786],20.0000,3.0000,[-45.74399    19.734426    5.8890786],20.0000,3.0000,[-45.74629     -0.27418908   6.164355  ],20.0000,6.0000,[-48.022305  -20.17856     5.6246705],20.0000,3.0000
5,[-44.697693   39.40769     5.7630982],20.0000,3.0000,[-44.697693   19.40769     5.7630982],20.0000,3.0000,[-44.659317    -0.37748924   0.12669398],20.0000,6.0000,[-47.444252 -20.429459   5.525221],20.0000,3.0000
6,[-43.69334   38.964993   5.647391],20.0000,3.0000,[-43.69334   18.964994   5.647391],20.0000,3.0000,[-43.57209     -0.27427307   0.39406323],20.0000,6.0000,[-46.90743   -20.73536     5.4462905],20.0000,3.0000
7,[-42.741707  38.416225   5.541472],20.0000,3.0000,[-42.741707  18.416224   5.541472],20.0000,3.0000,[-42.5268       0.05487981   0.6615465 ],20.0000,3.0000,[-46.40822 -21.08391   5.36943],20.0000,3.0000
8,[-41.850777  37.772808   5.442904],20.0000,3.0000,[-41.850777  17.77281    5.442904],20.0000,3.0000,[-41.57961     0.6151234   0.6365251],20.0000,3.0000,[-45.94538   -21.470163    5.2879066],20.0000,3.0000
9,[-41.026657  37.04559    5.348773],20.0000,3.0000,[-41.026657  17.045588   5.348773],20.0000,3.0000,[-40.639004    1.1789651   0.4948867],20.0000,3.0000,[-45.520164 -21.892092   5.201221],20.0000,3.0000
