step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3
0,[0. 0. 0.],20.0000,6.0000,[ 0. 20.  0.],20.0000,6.0000,[  0. -20.   0.],20.0000,6.0000,[ 0. 40.  0.],20.0000,6.0000,[  0. -40.   0.],20.0000,6.0000,[177.1115   -28.65327    5.287119],20.0000,4.0000,[ 99.41277   -33.082912    1.1824712],20.0000,4.0000,[108.18084   -19.581017    1.9066823],20.0000,4.0000
1,[ 1.0915738  -0.00594422  0.18351729],20.0000,6.0000,[ 1.0915738  19.994057    0.18351729],20.0000,6.0000,[  1.0915738  -20.005943     0.18351729],20.0000,6.0000,[ 1.0915738  39.994057    0.18351729],20.0000,6.0000,[  1.0915738  -40.005943     0.18351729],20.0000,6.0000,[177.53632  -29.30921    5.287119],20.0000,4.0000,[ 99.70867   -32.3596      1.1824712],20.0000,3.0000,[107.923256  -18.843191    1.9066823],20.0000,4.0000
2,[2.1740324  0.14350085 0.43028393],20.0000,6.0000,[ 2.1740324  20.143501    0.43028393],20.0000,0.0000,[  2.1740324  -19.856499     0.43028393],20.0000,6.0000,[ 2.1740324  40.1435      0.43028393],20.0000,1.0000,[  2.1740324  -39.8565       0.43028393],20.0000,6.0000,[177.91531  -29.89438    5.287119],20.0000,4.0000,[ 99.9699    -31.713205    1.0907125],20.0000,3.0000,[107.69346   -18.18497     1.9066823],20.0000,4.0000
3,[3.21033   0.5024226 0.6893175],20.0000,0.0000,[ 3.2028916  20.51863     0.13876562],20.0000,6.0000,[  3.21033   -19.497578    0.6893175],20.0000,0.0000,[ 3.2041314  40.51593     0.23052426],20.0000,6.0000,[  3.21033   -39.497578    0.6893175],20.0000,0.0000,[178.27036  -30.442566   5.287119],20.0000,4.0000,[100.2498     -31.122599     0.96533525],20.0000,3.0000,[107.47819   -17.568352    1.9066823],20.0000,4.0000
4,[4.138695   1.0922748  0.38323882],20.0000,6.0000,[ 4.2862744  20.652985    0.20972788],20.0000,0.0000,[  4.138695   -18.907724     0.38323882],20.0000,6.0000,[ 4.2763114 40.724846   0.3262586],20.0000,0.0000,[  4.138695   -38.907726     0.38323882],20.0000,6.0000,[178.61122  -30.968874   5.287119],20.0000,4.0000,[100.563896  -30.577396    0.8302383],20.0000,3.0000,[107.27151   -16.976343    1.9066823],20.0000,4.0000
5,[5.1683025  1.4576793  0.42819834],20.0000,0.0000,[ 5.3577437 20.862225   6.1513677],20.0000,6.0000,[  5.1683025  -18.54232      0.42819834],20.0000,6.0000,[ 5.325062  41.031013   6.2732363],20.0000,6.0000,[  5.1683025  -38.54232      0.42819834],20.0000,6.0000,[178.9432   -31.481474   5.287119],20.0000,4.0000,[100.91798  -30.073633   0.696606],20.0000,3.0000,[107.07021   -16.399752    1.9066823],20.0000,4.0000
6,[6.177702   1.8750046  0.07310999],20.0000,6.0000,[ 6.446973 20.772652  6.227756],20.0000,6.0000,[  6.1851068 -18.141218    0.6236619],20.0000,0.0000,[ 6.416845  41.04871    0.0627958],20.0000,6.0000,[  6.1851068 -38.141216    0.6236619],20.0000,0.0000,[179.26945  -31.985205   5.287119],20.0000,4.0000,[101.314095  -29.611807    0.5706256],20.0000,3.0000,[106.8724    -15.833138    1.9066823],20.0000,4.0000
7,[7.2634764  1.993823   0.14292988],20.0000,6.0000,[ 7.538398 20.74008   0.163598],20.0000,0.0000,[  7.1189475  -17.570147     0.31601766],20.0000,6.0000,[ 7.505861   41.12334     0.27572775],20.0000,0.0000,[  7.1189475  -37.57015      0.31601766],20.0000,6.0000,[179.59192  -32.48308    5.287119],20.0000,4.0000,[101.7512     -29.194653     0.45491815],20.0000,3.0000,[106.67689   -15.273106    1.9066823],20.0000,4.0000
8,[8.341585   2.1653814  0.35647848],20.0000,0.0000,[ 8.616892 20.908676  6.156355],20.0000,6.0000,[  8.15886    -17.238289     0.38522753],20.0000,0.0000,[ 8.563803 41.39358   6.264384],20.0000,6.0000,[  8.15886    -37.23829      0.38522753],20.0000,6.0000,[179.91185  -32.977055   5.287119],20.0000,4.0000,[102.22558    -28.825071     0.34899926],20.0000,4.0000,[106.4829    -14.717468    1.9066823],20.0000,2.0000
9,[9.371033  2.5288026 0.0629849],20.0000,6.0000,[ 9.705971  20.81996    6.2460756],20.0000,6.0000,[  9.173995   -16.836943     0.04368687],20.0000,6.0000,[ 9.655796   41.406742    0.06762493],20.0000,6.0000,[  9.1806965  -36.853466     0.59423876],20.0000,0.0000,[180.23007  -33.4684     5.287119],20.0000,4.0000,[102.73311    -28.507898     0.34218976],20.0000,4.0000,[106.28434   -14.166747    1.7231649],20.0000,2.0000
10,[10.4577875   2.6392717   0.15096311],20.0000,6.0000,[10.797558   20.800629    0.18560496],20.0000,0.0000,[ 10.261774   -16.72675      0.12103524],20.0000,6.0000,[10.744324 41.48834   0.286162],20.0000,0.0000,[ 10.117995   -36.29097      0.29612216],20.0000,6.0000,[180.54715  -33.957962   5.287119],20.0000,4.0000,[103.247406   -28.213463     0.37154308],20.0000,3.0000,[106.1458    -13.597912    1.4763983],20.0000,2.0000
11,[11.534712    2.8179855   0.37145665],20.0000,0.0000,[11.873373  20.986038   6.1785026],20.0000,6.0000,[ 11.341163  -16.560604    0.3424599],20.0000,0.0000,[11.799304 41.76989   6.276553],20.0000,6.0000,[ 11.15964    -35.964577     0.37505877],20.0000,6.0000,[180.86343  -34.44632    5.287119],20.0000,4.0000,[103.75815    -27.92167      0.31431252],20.0000,4.0000,[106.09505   -13.008671    1.2173648],20.0000,2.0000
12,[12.559707    3.193945    0.07981385],20.0000,6.0000,[12.963467 20.91496   6.26757 ],20.0000,6.0000,[ 12.370658   -16.197777     0.05379755],20.0000,6.0000,[12.891055   41.796165    0.08028121],20.0000,6.0000,[ 12.180449  -35.57775     0.5881805],20.0000,0.0000,[181.17918  -34.933853   5.287119],20.0000,4.0000,[104.28364    -27.659307     0.30891708],20.0000,4.0000,[106.15245    -12.410726     0.97289157],20.0000,3.0000
13,[13.644707    3.3194537   0.16787593],20.0000,6.0000,[14.055131  20.9136     0.2055231],20.0000,0.0000,[ 13.457708   -16.084797     0.14436866],20.0000,6.0000,[13.978483   41.891273    0.29896244],20.0000,0.0000,[ 13.114819  -35.011467    0.2926397],20.0000,6.0000,[181.49458  -35.420826   5.287119],20.0000,4.0000,[104.81291   -27.409454    0.3230441],20.0000,3.0000,[106.33153   -11.830723    0.8483258],20.0000,3.0000
14,[14.718933   3.5135338  0.3878078],20.0000,0.0000,[15.127995  21.115818   6.1973476],20.0000,6.0000,[ 14.534322   -15.903102     0.36842927],20.0000,0.0000,[1.5029855e+01 4.2186043e+01 6.1911363e-03],20.0000,6.0000,[ 14.155033  -34.680206    0.3750878],20.0000,6.0000,[181.80972  -35.907417   5.287119],20.0000,4.0000,[105.34095    -27.16056      0.24975052],20.0000,4.0000,[106.59032    -11.286031     0.77617097],20.0000,3.0000
15,[15.738601    3.9038587   0.09573634],20.0000,6.0000,[1.6218891e+01 2.1061296e+01 2.3928331e-03],20.0000,6.0000,[ 15.557391   -15.5223255    0.07901467],20.0000,6.0000,[16.121181   42.226063    0.09306747],20.0000,6.0000,[ 15.173045  -34.286278    0.5901352],20.0000,0.0000,[182.12471  -36.39375    5.287119],20.0000,4.0000,[105.883606  -26.943716    0.2329294],20.0000,4.0000,[106.90036   -10.774763    0.7134398],20.0000,3.0000
16,[16.821674    4.0444527   0.18334264],20.0000,6.0000,[17.31041    21.076263    0.22249052],20.0000,0.0000,[ 16.64192   -15.39047     0.1686293],20.0000,6.0000,[17.207325   42.334854    0.31169617],20.0000,0.0000,[ 16.102541   -33.712543     0.29563943],20.0000,6.0000,[182.43958  -36.879898   5.287119],20.0000,4.0000,[106.43086    -26.741272     0.23904377],20.0000,4.0000,[107.25038    -10.294117     0.64273584],20.0000,3.0000
