step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5
0,[0. 0. 0.],20.0000,6.0000,[ 0. 20.  0.],20.0000,6.0000,[  0. -20.   0.],20.0000,6.0000,[ 0. 40.  0.],20.0000,6.0000,[  0. -40.   0.],20.0000,6.0000,[20.  0.  0.],20.0000,6.0000,[20. 20.  0.],20.0000,6.0000,[ 20. -20.   0.],20.0000,6.0000,[20. 40.  0.],20.0000,6.0000,[ 20. -40.   0.],20.0000,6.0000,[103.01592    41.43617     2.8765552],20.0000,1.0000,[129.86555     40.63624      0.97425354],20.0000,4.0000,[121.54386    25.877665    1.6633959],20.0000,4.0000,[86.92745   21.24291    6.0680037],20.0000,4.0000,[129.86334  -31.886871   4.348804],20.0000,4.0000
1,[ 1.0915738  -0.00594422  0.18351729],20.0000,6.0000,[ 1.0915738  19.994057    0.18351729],20.0000,6.0000,[  1.0915738  -20.005943     0.18351729],20.0000,6.0000,[ 1.0915738  39.994057    0.18351729],20.0000,6.0000,[  1.0915738  -40.005943     0.18351729],20.0000,6.0000,[ 2.1091574e+01 -5.9442231e-03  1.8351729e-01],20.0000,6.0000,[21.091574   19.994057    0.18351729],20.0000,6.0000,[ 21.091574   -20.005943     0.18351729],20.0000,6.0000,[21.091574   39.994057    0.18351729],20.0000,5.0000,[ 21.091574   -40.005943     0.18351729],20.0000,6.0000,[102.25938    41.632275    2.6012793],20.0000,1.0000,[130.3046      41.282757     0.97425354],20.0000,4.0000,[121.471596   26.655813    1.6633959],20.0000,4.0000,[87.690926  21.07604    6.0680037],20.0000,4.0000,[129.58542  -32.61728    4.348804],20.0000,4.0000
2,[2.1740324  0.14350085 0.43028393],20.0000,6.0000,[ 2.1740324  20.143501    0.43028393],20.0000,0.0000,[  2.1740324  -19.856499     0.43028393],20.0000,6.0000,[ 2.1740324  40.1435      0.43028393],20.0000,0.0000,[  2.1740324  -39.8565       0.43028393],20.0000,6.0000,[22.174032    0.14350085  0.43028393],20.0000,6.0000,[22.174032   20.143501    0.43028393],20.0000,0.0000,[ 22.174032   -19.856499     0.43028393],20.0000,6.0000,[22.17349   40.146423   0.3385253],20.0000,6.0000,[ 22.174032   -39.8565       0.43028393],20.0000,6.0000,[101.621254  41.923798   2.237111],20.0000,1.0000,[130.69626     41.859524     0.97425354],20.0000,4.0000,[121.40713    27.350008    1.6633959],20.0000,4.0000,[88.37203   20.927176   6.0680037],20.0000,4.0000,[129.3375   -33.268883   4.348804],20.0000,4.0000
3,[3.21033   0.5024226 0.6893175],20.0000,0.0000,[ 3.2028916  20.51863     0.13876562],20.0000,6.0000,[  3.21033   -19.497578    0.6893175],20.0000,0.0000,[ 3.2028916  40.51863     0.13876562],20.0000,6.0000,[  3.21033   -39.497578    0.6893175],20.0000,0.0000,[23.210331   0.5024226  0.6893175],20.0000,0.0000,[23.202892   20.51863     0.13876562],20.0000,6.0000,[ 23.210331  -19.497578    0.6893175],20.0000,0.0000,[23.230375  40.43143    0.5712244],20.0000,0.0000,[ 23.210331  -39.497578    0.6893175],20.0000,0.0000,[101.09059    42.337376    1.8650892],20.0000,2.0000,[131.06317     42.399834     0.97425354],20.0000,4.0000,[121.34674    28.000324    1.6633959],20.0000,2.0000,[89.01008   20.787718   6.0680037],20.0000,4.0000,[129.10522  -33.879303   4.348804],20.0000,4.0000
4,[4.138695   1.0922748  0.38323882],20.0000,6.0000,[ 4.2862744  20.652985    0.20972788],20.0000,0.0000,[  4.138695   -18.907724     0.38323882],20.0000,6.0000,[ 4.2862744  40.652985    0.20972788],20.0000,0.0000,[  4.138695   -38.907726     0.38323882],20.0000,6.0000,[24.138695    1.0922748   0.38323882],20.0000,6.0000,[24.286274   20.652985    0.20972788],20.0000,0.0000,[ 24.138695   -18.907724     0.38323882],20.0000,6.0000,[24.20853    40.9284      0.26710302],20.0000,6.0000,[ 24.138695   -38.907726     0.38323882],20.0000,6.0000,[100.69922    42.87397     1.6231792],20.0000,2.0000,[131.41544     42.91858      0.97425354],20.0000,4.0000,[121.28284    28.624138    1.4798787],20.0000,2.0000,[89.62267   20.653828   6.0680037],20.0000,4.0000,[128.88223  -34.465363   4.348804],20.0000,4.0000
5,[5.1683025  1.4576793  0.42819834],20.0000,0.0000,[ 5.3577437 20.862225   6.1513677],20.0000,6.0000,[  5.1683025  -18.54232      0.42819834],20.0000,6.0000,[ 5.3577437 40.862225   6.1513677],20.0000,6.0000,[  5.1683025  -38.54232      0.42819834],20.0000,6.0000,[25.168303    1.4576793   0.42819834],20.0000,0.0000,[25.357744  20.862225   6.1513677],20.0000,6.0000,[ 25.168303   -18.54232      0.42819834],20.0000,6.0000,[25.269304   41.18753     0.32519215],20.0000,0.0000,[ 25.168303   -38.54232      0.42819834],20.0000,6.0000,[100.450584  43.472492   1.455444],20.0000,2.0000,[131.75853     43.423817     0.97425354],20.0000,4.0000,[121.287895  29.236929   1.233112],20.0000,2.0000,[90.21931   20.523424   6.0680037],20.0000,4.0000,[128.66504  -35.036156   4.348804],20.0000,4.0000
6,[6.177702   1.8750046  0.07310999],20.0000,6.0000,[ 6.446973 20.772652  6.227756],20.0000,6.0000,[  6.1851068 -18.141218    0.6236619],20.0000,0.0000,[ 6.446973 40.77265   6.227756],20.0000,0.0000,[  6.1851068 -38.141216    0.6236619],20.0000,0.0000,[26.177702    1.8750046   0.07310999],20.0000,6.0000,[26.446974 20.772652  6.227756],20.0000,6.0000,[ 26.185106  -18.141218    0.6236619],20.0000,0.0000,[26.312574  41.509796   6.2607436],20.0000,6.0000,[ 26.185106  -38.141216    0.6236619],20.0000,0.0000,[100.32227    44.091526    1.3074924],20.0000,3.0000,[132.09569     43.92031      0.97425354],20.0000,4.0000,[121.38665    29.838326    0.9740784],20.0000,3.0000,[90.80561   20.395277   6.0680037],20.0000,4.0000,[128.45161  -35.597073   4.348804],20.0000,4.0000
7,[7.2634764  1.993823   0.14292988],20.0000,6.0000,[ 7.538398 20.74008   0.163598],20.0000,0.0000,[  7.1189475  -17.570147     0.31601766],20.0000,6.0000,[ 7.539386  40.757885   5.8962317],20.0000,6.0000,[  7.1189475  -37.57015      0.31601766],20.0000,6.0000,[27.263475    1.993823    0.14292988],20.0000,6.0000,[27.538397 20.74008   0.163598],20.0000,0.0000,[ 27.118948   -17.570147     0.31601766],20.0000,6.0000,[27.404915   41.532658    0.05118946],20.0000,6.0000,[ 27.118948   -37.57015      0.31601766],20.0000,6.0000,[100.30076    44.711678    1.2426972],20.0000,3.0000,[132.42892     44.411037     0.97425354],20.0000,4.0000,[121.59579     30.413359     0.82136387],20.0000,3.0000,[91.38512   20.268618   6.0680037],20.0000,4.0000,[128.24066  -36.151478   4.348804],20.0000,4.0000
8,[8.341585   2.1653814  0.35647848],20.0000,0.0000,[ 8.616892 20.908676  6.156355],20.0000,6.0000,[  8.15886    -17.238289     0.38522753],20.0000,6.0000,[ 8.592176  40.4489     5.9818234],20.0000,6.0000,[  8.15886    -37.23829      0.38522753],20.0000,6.0000,[28.341585    2.1653814   0.35647848],20.0000,0.0000,[28.616892 20.908676  6.156355],20.0000,6.0000,[ 28.15886    -17.238289     0.38522753],20.0000,6.0000,[28.493883   41.61104     0.26768008],20.0000,0.0000,[ 28.15886    -37.23829      0.38522753],20.0000,6.0000,[100.34329    45.318886    1.1935428],20.0000,3.0000,[132.75955     44.897915     0.97425354],20.0000,4.0000,[121.88302    30.949997    0.7219142],20.0000,3.0000,[91.96007   20.142954   6.0680037],20.0000,4.0000,[128.03136  -36.70153    4.348804],20.0000,4.0000
9,[9.371033  2.5288026 0.0629849],20.0000,6.0000,[ 9.705971  20.81996    6.2460756],20.0000,6.0000,[  9.1806965  -16.853468     0.59423876],20.0000,0.0000,[ 9.655392  40.191998   6.2235727],20.0000,0.0000,[  9.1806965  -36.853466     0.59423876],20.0000,0.0000,[29.371033   2.5288026  0.0629849],20.0000,6.0000,[29.70597   20.81996    6.2460756],20.0000,6.0000,[ 29.180696   -16.853468     0.59423876],20.0000,0.0000,[29.550154 41.886654  6.258958],20.0000,6.0000,[ 29.180696   -36.853466     0.59423876],20.0000,0.0000,[100.43208   45.913376   1.132343],20.0000,3.0000,[133.08841     45.382202     0.97425354],20.0000,4.0000,[122.22532    31.447077    0.6429838],20.0000,3.0000,[92.53196   20.017958   6.0680037],20.0000,4.0000,[127.82318  -37.248653   4.348804],20.0000,6.0000
