step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5,pos_blue6,health_blue6,action_blue6,pos_blue7,health_blue7,action_blue7,pos_blue8,health_blue8,action_blue8,pos_blue9,health_blue9,action_blue9,pos_blue10,health_blue10,action_blue10
0,[0. 0. 0.],20.0000,6.0000,[ 0. 20.  0.],20.0000,6.0000,[  0. -20.   0.],20.0000,6.0000,[ 0. 40.  0.],20.0000,6.0000,[  0. -40.   0.],20.0000,6.0000,[20.  0.  0.],20.0000,5.0000,[20. 20.  0.],20.0000,5.0000,[ 20. -20.   0.],20.0000,6.0000,[20. 40.  0.],20.0000,5.0000,[ 20. -40.   0.],20.0000,6.0000,[52.04297    1.2427628  5.393805 ],20.0000,5.0000,[99.08751    37.048958    0.65867466],20.0000,3.0000,[149.05351   -43.852093    2.2370014],20.0000,4.0000,[142.99945    -3.4472663   1.9237329],20.0000,4.0000,[113.75041    49.04416     1.3743652],20.0000,2.0000,[50.746445 40.109062  5.985297],20.0000,5.0000,[123.23811   -13.012093    4.2915993],20.0000,4.0000,[65.3868     2.9098756  2.8406143],20.0000,0.0000,[ 96.37889  -16.414282   5.872291],20.0000,4.0000,[105.24462    41.32338     1.9628528],20.0000,2.0000
1,[ 1.0915738  -0.00594422  0.18351729],20.0000,6.0000,[ 1.0915738  19.994057    0.18351729],20.0000,6.0000,[  1.0915738  -20.005943     0.18351729],20.0000,5.0000,[ 1.0915738  39.994057    0.18351729],20.0000,6.0000,[  1.0915738  -40.005943     0.18351729],20.0000,5.0000,[ 2.1091574e+01 -2.9721116e-03  9.1758646e-02],20.0000,5.0000,[21.091574   19.997028    0.09175865],20.0000,5.0000,[ 21.091574   -20.005943     0.18351729],20.0000,5.0000,[21.091574   39.99703     0.09175865],20.0000,5.0000,[ 21.091574   -40.005943     0.18351729],20.0000,6.0000,[52.53292    0.633917   5.4855638],20.0000,5.0000,[99.7037     37.529636    0.56691605],20.0000,3.0000,[148.57054   -43.2377      2.2370014],20.0000,4.0000,[142.72932    -2.7139401   1.9237329],20.0000,4.0000,[113.89711   49.811787   1.190848],20.0000,3.0000,[51.49265  39.87685   6.077056],20.0000,5.0000,[122.91889   -13.725416    4.2915993],20.0000,4.0000,[64.63692    3.1302     2.4735796],20.0000,1.0000,[ 97.095345 -16.726435   5.872291],20.0000,4.0000,[104.94053    42.04331     1.7793355],20.0000,2.0000
2,[2.1740324  0.14350085 0.43028393],20.0000,0.0000,[ 2.1740324  20.143501    0.43028393],20.0000,0.0000,[  2.17349   -19.853577    0.3385253],20.0000,5.0000,[ 2.1740324  40.1435      0.43028393],20.0000,0.0000,[  2.17349   -39.853577    0.3385253],20.0000,5.0000,[22.180782    0.07263508  0.21713589],20.0000,5.0000,[22.180782   20.072636    0.21713589],20.0000,5.0000,[ 22.17349   -19.853577    0.3385253],20.0000,5.0000,[22.180782   40.072636    0.21713589],20.0000,5.0000,[ 22.174032   -39.8565       0.43028393],20.0000,0.0000,[53.002293    0.11782505  5.610941  ],20.0000,5.0000,[100.27865     37.924725     0.44153878],20.0000,4.0000,[148.13968   -42.689598    2.2370014],20.0000,4.0000,[142.48833    -2.0597324   1.9237329],20.0000,4.0000,[114.11144    50.476913    1.0358399],20.0000,3.0000,[52.170055 39.71016   6.202433],20.0000,5.0000,[122.6341    -14.36178     4.2915993],20.0000,4.0000,[64.02485    3.4800029  2.0877564],20.0000,1.0000,[ 97.73449  -17.00491    5.872291],20.0000,4.0000,[104.74669    42.71491     1.5325689],20.0000,2.0000
3,[3.2028916  0.5186297  0.13876562],20.0000,6.0000,[ 3.2028916  20.51863     0.13876562],20.0000,6.0000,[  3.2293885  -19.565763     0.47946575],20.0000,0.0000,[ 3.2028916  40.51863     0.13876562],20.0000,6.0000,[  3.2293885  -39.565765     0.47946575],20.0000,0.0000,[23.257914    0.25697705  0.35223284],20.0000,1.0000,[23.257914   20.256977    0.35223284],20.0000,1.0000,[ 23.22939    -19.565763     0.47946575],20.0000,0.0000,[23.257914   40.256977    0.35223284],20.0000,5.0000,[ 23.202892   -39.48137      0.13876562],20.0000,6.0000,[53.4809     -0.32961315  5.746038  ],20.0000,5.0000,[100.84816     38.24818      0.39820048],20.0000,4.0000,[147.73605   -42.176136    2.2370014],20.0000,4.0000,[142.26257    -1.4468747   1.9237329],20.0000,4.0000,[114.37628    51.079147    0.8948995],20.0000,3.0000,[52.81684    39.60561     0.05434481],20.0000,4.0000,[122.36732   -14.957921    4.2915993],20.0000,4.0000,[63.539177   3.9551709  1.7209592],20.0000,2.0000,[ 98.333244 -17.265781   5.872291],20.0000,4.0000,[104.66566    43.371597    1.2735354],20.0000,3.0000
4,[4.2862744  0.6529852  0.20972788],20.0000,6.0000,[ 4.2862744  20.652985    0.20972788],20.0000,6.0000,[  4.238145   -19.139708     0.14880982],20.0000,6.0000,[ 4.2862744  40.652985    0.20972788],20.0000,6.0000,[  4.238145   -39.139706     0.14880982],20.0000,6.0000,[24.305449    0.5709905   0.11883057],20.0000,6.0000,[24.305449   20.57099     0.11883057],20.0000,6.0000,[ 24.238144   -19.139708     0.14880982],20.0000,6.0000,[24.30955    40.559834    0.48586515],20.0000,0.0000,[ 24.286274   -39.347015     0.20972788],20.0000,0.0000,[53.979454   -0.71795243  5.87967   ],20.0000,5.0000,[101.40536     38.54074      0.38744953],20.0000,4.0000,[147.34854   -41.683167    2.2370014],20.0000,4.0000,[142.04584     -0.85847473   1.9237329 ],20.0000,4.0000,[114.68884    51.632267    0.7667622],20.0000,3.0000,[53.44707    39.564205    0.09621846],20.0000,4.0000,[122.11118   -15.530272    4.2915993],20.0000,7.0000,[63.215603   4.5404005  1.4978957],20.0000,2.0000,[ 98.908104 -17.516245   5.872291],20.0000,4.0000,[104.70577    44.01512     1.1208208],20.0000,3.0000
5,[5.3614564 0.844782  0.4187341],20.0000,0.0000,[ 5.3614564 20.844782   0.4187341],20.0000,0.0000,[  5.318525   -18.983812     0.21027258],20.0000,6.0000,[ 5.3614564 40.844784   0.4187341],20.0000,0.0000,[  5.318525   -38.983814     0.21027258],20.0000,6.0000,[25.391003    0.6861607   0.21300296],20.0000,6.0000,[25.391003   20.686161    0.21300296],20.0000,6.0000,[ 25.318525   -18.983812     0.21027258],20.0000,6.0000,[25.31457    40.994205    0.15305229],20.0000,6.0000,[ 25.357744  -39.137775    6.1513677],20.0000,6.0000,[54.501827  -1.0497892  6.0056505],20.0000,4.0000,[101.951546   38.8187      0.3899091],20.0000,4.0000,[146.9711    -41.203037    2.2370014],20.0000,4.0000,[141.83475     -0.28540015   1.9237329 ],20.0000,4.0000,[115.04748   52.140247   0.651207],20.0000,3.0000,[54.062202   39.547886    0.09959506],20.0000,4.0000,[121.85358  -16.084072   4.566875],20.0000,6.0000,[63.042027   5.165421   1.3471857],20.0000,2.0000,[ 99.46799  -17.760183   5.872291],20.0000,4.0000,[104.831566   44.632595    1.0213711],20.0000,3.0000
6,[6.385829   1.2276648  0.11931962],20.0000,6.0000,[ 6.385829   21.227665    0.11931962],20.0000,6.0000,[  6.39106  -18.77952    0.416596],20.0000,0.0000,[ 6.385829   41.227665    0.11931962],20.0000,6.0000,[  6.39106  -38.77952    0.416596],20.0000,6.0000,[26.466097    0.87895596  0.43033138],20.0000,0.0000,[26.466097   20.878956    0.43033138],20.0000,0.0000,[ 26.39106  -18.77952    0.416596],20.0000,0.0000,[26.393948   41.15683     0.21479672],20.0000,6.0000,[ 26.446974 -39.22735    6.227756],20.0000,6.0000,[55.048332  -1.3219218  6.029599 ],20.0000,4.0000,[102.489105   39.08951     0.3969036],20.0000,4.0000,[146.6002    -40.731216    2.2370014],20.0000,4.0000,[141.62729      0.27775848   1.9237329 ],20.0000,4.0000,[115.44906     52.60342      0.54628164],20.0000,4.0000,[54.666092   39.5404      0.08853517],20.0000,4.0000,[121.69206  -16.666964   4.839285],20.0000,6.0000,[62.984306   5.794022   1.2059414],20.0000,3.0000,[100.01818  -17.9999     5.872291],20.0000,4.0000,[105.0197      45.22112      0.94244075],20.0000,3.0000
7,[7.4693794  1.3596122  0.19562311],20.0000,6.0000,[ 7.4693794  21.359612    0.19562311],20.0000,6.0000,[  7.4115376  -18.388182     0.11810023],20.0000,6.0000,[ 7.4693794  41.35961     0.19562311],20.0000,6.0000,[  7.4187536 -38.404488    0.6686521],20.0000,0.0000,[27.48773     1.2698343   0.13288398],20.0000,6.0000,[27.48773    21.269835    0.13288398],20.0000,6.0000,[ 27.411537   -18.388182     0.11810023],20.0000,6.0000,[27.465115  41.367954   0.4213121],20.0000,0.0000,[ 27.538397 -39.25992    0.163598],20.0000,0.0000,[55.59761   -1.5669367  6.0126104],20.0000,4.0000,[103.02029     39.35672      0.40467933],20.0000,4.0000,[146.23363   -40.264874    2.2370014],20.0000,4.0000,[141.42226      0.83437604   1.9237329 ],20.0000,4.0000,[115.89084   53.01862    0.540504],20.0000,4.0000,[55.2621     39.534813    0.07411312],20.0000,4.0000,[121.63541   -17.27218     5.0986223],20.0000,6.0000,[63.028645   6.412064   1.1409498],20.0000,3.0000,[100.56199  -18.236834   5.872291],20.0000,4.0000,[105.25735    45.781673    0.8655804],20.0000,3.0000
8,[8.543882   1.5527644  0.40751266],20.0000,0.0000,[ 8.543882   21.552765    0.40751266],20.0000,0.0000,[  8.494153   -18.248323     0.19790445],20.0000,6.0000,[ 8.543882   41.552765    0.40751266],20.0000,0.0000,[  8.342246  -37.812603    0.3727817],20.0000,6.0000,[28.569908    1.4126015   0.20837206],20.0000,6.0000,[28.569908   21.412601    0.20837206],20.0000,6.0000,[ 28.494154   -18.248323     0.19790445],20.0000,6.0000,[28.48299    41.765766    0.12310113],20.0000,6.0000,[ 28.616892 -39.091324   6.156355],20.0000,6.0000,[56.142803  -1.8032656  5.985094 ],20.0000,4.0000,[103.54689    39.622013    0.4118115],20.0000,4.0000,[145.8699    -39.80219     2.2370014],20.0000,4.0000,[141.21883     1.3866259   1.9237329],20.0000,4.0000,[116.34138     53.411587     0.57062906],20.0000,4.0000,[55.852707   39.528576    0.06078503],20.0000,4.0000,[121.69785  -17.882113   5.330423],20.0000,5.0000,[63.134167   7.0111113  1.0895596],20.0000,3.0000,[101.101524 -18.471909   5.872291],20.0000,4.0000,[105.539406   46.31445     0.7840571],20.0000,3.0000
9,[9.566676   1.937589   0.11113811],20.0000,6.0000,[ 9.566676   21.93759     0.11113811],20.0000,6.0000,[  9.566614  -18.044748    0.4115387],20.0000,0.0000,[ 9.566676   41.937588    0.11113811],20.0000,6.0000,[  9.369843   -37.443214     0.43426412],20.0000,6.0000,[29.642607    1.6159073   0.41985565],20.0000,0.0000,[29.642607   21.615908    0.41985565],20.0000,0.0000,[ 29.566614  -18.044748    0.4115387],20.0000,0.0000,[29.564714  41.912476   0.2034431],20.0000,6.0000,[ 29.70597   -39.18004     6.2460756],20.0000,6.0000,[56.682827  -2.0388339  5.9598627],20.0000,4.0000,[104.07029     39.88621      0.41791964],20.0000,4.0000,[145.50813   -39.34197     2.2370014],20.0000,4.0000,[141.0165      1.9359361   1.9237329],20.0000,4.0000,[116.78889  53.79811   0.60559],20.0000,3.0000,[5.6439640e+01 3.9521107e+01 4.9772952e-02],20.0000,4.0000,[121.88483   -18.46744     5.4394913],20.0000,5.0000,[63.284702   7.5929008  1.0265287],20.0000,3.0000,[101.63819  -18.705732   5.872291],20.0000,4.0000,[105.86416     46.817806     0.69737136],20.0000,3.0000
