step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_red6,health_red6,action_red6,pos_red7,health_red7,action_red7,pos_red8,health_red8,action_red8,pos_red9,health_red9,action_red9,pos_red10,health_red10,action_red10,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3,pos_blue4,health_blue4,action_blue4,pos_blue5,health_blue5,action_blue5,pos_blue6,health_blue6,action_blue6,pos_blue7,health_blue7,action_blue7,pos_blue8,health_blue8,action_blue8,pos_blue9,health_blue9,action_blue9,pos_blue10,health_blue10,action_blue10,pos_blue11,health_blue11,action_blue11,pos_blue12,health_blue12,action_blue12,pos_blue13,health_blue13,action_blue13,pos_blue14,health_blue14,action_blue14,pos_blue15,health_blue15,action_blue15,pos_blue16,health_blue16,action_blue16,pos_blue17,health_blue17,action_blue17,pos_blue18,health_blue18,action_blue18,pos_blue19,health_blue19,action_blue19,pos_blue20,health_blue20,action_blue20
0,[0. 0. 0.],20.0000,6.0000,[ 0. 20.  0.],20.0000,6.0000,[  0. -20.   0.],20.0000,5.0000,[ 0. 40.  0.],20.0000,6.0000,[  0. -40.   0.],20.0000,6.0000,[20.  0.  0.],20.0000,5.0000,[20. 20.  0.],20.0000,5.0000,[ 20. -20.   0.],20.0000,5.0000,[20. 40.  0.],20.0000,6.0000,[ 20. -40.   0.],20.0000,5.0000,[91.35145   49.862637   4.9590783],20.0000,6.0000,[ 81.83492  -47.15234    1.716725],20.0000,1.0000,[133.06628  -13.13512    5.694206],20.0000,4.0000,[ 52.336117  -19.524498    0.7240715],20.0000,3.0000,[ 99.04239   -40.067253    3.5477936],20.0000,7.0000,[130.90427    24.739153    5.5471363],20.0000,4.0000,[115.33966   -31.434916    0.5570985],20.0000,3.0000,[111.11817   22.544521   2.166426],20.0000,1.0000,[80.61032   41.926567   3.9668102],20.0000,7.0000,[68.39547   22.790236   1.8293616],20.0000,2.0000,[94.15856  15.84609   5.197804],20.0000,5.0000,[104.554596   -1.0848291   3.3855014],20.0000,8.0000,[ 91.31697  -13.953613   4.574686],20.0000,6.0000,[123.54322  -44.31662    6.021372],20.0000,4.0000,[ 66.957     -27.218906    4.7489624],20.0000,6.0000,[84.248     15.282011   1.7819712],20.0000,2.0000,[71.09848   42.880486   2.6529455],20.0000,1.0000,[108.3225    -25.899065    0.6327875],20.0000,3.0000,[88.7862   38.091915  3.437237],20.0000,8.0000,[68.53916    8.089441   5.6850395],20.0000,5.0000
1,[ 1.0915738  -0.00594422  0.18351729],20.0000,6.0000,[ 1.0915738  19.994057    0.18351729],20.0000,0.0000,[  1.0915738  -20.002972     0.09175865],20.0000,5.0000,[ 1.0915738  39.994057    0.18351729],20.0000,6.0000,[  1.0915738  -40.005943     0.18351729],20.0000,5.0000,[ 2.1091574e+01 -2.9721116e-03  9.1758646e-02],20.0000,5.0000,[21.091574   19.997028    0.09175865],20.0000,5.0000,[ 21.091574   -20.002972     0.09175865],20.0000,5.0000,[21.091574   39.994057    0.18351729],20.0000,0.0000,[ 21.091574   -40.00297      0.09175865],20.0000,5.0000,[91.53652   49.103348   5.1425953],20.0000,6.0000,[ 81.71246  -46.380447   1.441449],20.0000,2.0000,[133.71611  -13.569252   5.694206],20.0000,4.0000,[ 52.91958    -19.004578     0.63231283],20.0000,3.0000,[ 98.32096   -40.367847    3.8230696],20.0000,7.0000,[131.48346    24.214483    5.5471363],20.0000,4.0000,[116.00141    -31.019196     0.46533984],20.0000,3.0000,[110.67235    23.186438    1.8911501],20.0000,2.0000,[80.0736    41.358456   4.2420864],20.0000,7.0000,[68.189896  23.544233   1.6458442],20.0000,2.0000,[94.52056   15.153485   5.2895627],20.0000,5.0000,[103.793365  -1.262022   3.752536],20.0000,7.0000,[ 91.203804  -14.726896    4.7582035],20.0000,6.0000,[124.29808  -44.518894   6.021372],20.0000,4.0000,[ 66.97964  -28.000097   4.93248 ],20.0000,5.0000,[84.078384 16.0449    1.598454],20.0000,2.0000,[70.40426   43.23947    2.3776698],20.0000,1.0000,[108.95093   -25.434496    0.5410289],20.0000,3.0000,[88.03515   37.87559    3.8042715],20.0000,7.0000,[69.183304   7.646916   5.7767982],20.0000,5.0000
2,[2.1740324  0.14350085 0.43028393],20.0000,0.0000,[ 2.170778 20.161034  6.162917],20.0000,6.0000,[  2.180782   -19.927364     0.21713589],20.0000,5.0000,[ 2.1740324  40.1435      0.43028393],20.0000,0.0000,[  2.17349   -39.853577    0.3385253],20.0000,5.0000,[22.180782    0.07263508  0.21713589],20.0000,0.0000,[22.180782   20.072636    0.21713589],20.0000,0.0000,[ 22.180782   -19.927364     0.21713589],20.0000,5.0000,[22.170778 40.161034  6.162917],20.0000,6.0000,[ 22.180782   -39.927364     0.21713589],20.0000,5.0000,[91.781296 48.448593  5.389362],20.0000,6.0000,[ 81.72774   -45.67938     1.1690395],20.0000,2.0000,[134.29582  -13.956544   5.694206],20.0000,4.0000,[ 53.46748   -18.57276     0.5069356],20.0000,3.0000,[ 97.7302    -40.746254    4.1872377],20.0000,6.0000,[132.00015    23.746422    5.5471363],20.0000,4.0000,[116.613464  -30.684443    0.3399626],20.0000,4.0000,[110.38135    23.824442    1.6187406],20.0000,2.0000,[79.68791   40.77243    4.6062546],20.0000,6.0000,[68.087166  24.235657   1.3990775],20.0000,2.0000,[94.88044  14.555864  5.41494 ],20.0000,5.0000,[103.162346   -1.5763441   4.138359 ],20.0000,7.0000,[ 91.18519  -15.425663   5.00497 ],20.0000,6.0000,[124.971504 -44.69935    6.021372],20.0000,4.0000,[ 67.085365  -28.690859    5.0874877],20.0000,5.0000,[84.00852   16.740416   1.3516873],20.0000,2.0000,[69.84667   43.66524    2.0135014],20.0000,2.0000,[109.53591    -25.054422     0.41565165],20.0000,3.0000,[87.42123  37.52906   4.190095],20.0000,7.0000,[69.7811     7.28733    5.9021754],20.0000,5.0000
3,[3.2028916  0.5186297  0.13876562],20.0000,6.0000,[ 3.2582593 20.061623   6.246224 ],20.0000,6.0000,[  3.2579143  -19.743023     0.35223284],20.0000,0.0000,[ 3.2028916  40.51863     0.13876562],20.0000,6.0000,[  3.2293885  -39.565765     0.47946575],20.0000,0.0000,[23.254713    0.27148867  6.176625  ],20.0000,6.0000,[23.254713 20.271488  6.176625],20.0000,6.0000,[ 23.257914   -19.743023     0.35223284],20.0000,0.0000,[23.258259 40.061623  6.246224],20.0000,6.0000,[ 23.257914   -39.743023     0.35223284],20.0000,1.0000,[92.10776   47.873066   5.6483955],20.0000,5.0000,[ 81.86091    -45.02634      0.90970194],20.0000,2.0000,[134.83888  -14.319358   5.694206],20.0000,4.0000,[ 54.01319    -18.21018      0.37183863],20.0000,3.0000,[ 97.26557   -41.23187     4.4675007],20.0000,6.0000,[132.48419    23.307943    5.5471363],20.0000,4.0000,[117.21284    -30.420404     0.29662427],20.0000,4.0000,[110.21741   24.470442   1.359403],20.0000,2.0000,[79.46106   40.139786   4.8865175],20.0000,6.0000,[68.09426  24.89729   1.140044],20.0000,3.0000,[95.26274  14.023786  5.550037],20.0000,5.0000,[102.65036    -2.0230367   4.5051565],20.0000,6.0000,[ 91.272     -16.081614    5.2640038],20.0000,5.0000,[125.60236  -44.868397   6.021372],20.0000,4.0000,[ 67.25097   -29.327574    5.2284284],20.0000,5.0000,[84.04695   17.400969   1.0926538],20.0000,3.0000,[69.423615  44.18747    1.7332383],20.0000,2.0000,[110.112404   -24.743097     0.28055468],20.0000,4.0000,[86.93303  37.056488  4.556892],20.0000,6.0000,[70.36803    6.9961586  6.0372725],20.0000,4.0000
4,[4.2862744  0.6529852  0.20972788],20.0000,6.0000,[ 4.3493185  20.028095    0.18018347],20.0000,0.0000,[  4.3044224  -19.42622      0.02707192],20.0000,6.0000,[ 4.2862744  40.652985    0.20972788],20.0000,6.0000,[  4.238145   -39.139706     0.14880982],20.0000,6.0000,[24.343586    0.18821411  6.2542367 ],20.0000,6.0000,[24.343586  20.188213   6.2542367],20.0000,6.0000,[ 24.304422   -19.42622      0.02707192],20.0000,6.0000,[24.34932    40.028095    0.18018347],20.0000,0.0000,[ 24.305449   -39.42901      0.11883057],20.0000,6.0000,[92.52362   47.380333   5.8011103],20.0000,5.0000,[ 82.11021   -44.425846    0.6779012],20.0000,3.0000,[135.36029  -14.667692   5.694206],20.0000,4.0000,[ 54.56885    -17.909174     0.23820634],20.0000,4.0000,[ 96.92576   -41.79328     4.6898932],20.0000,6.0000,[132.94893    22.886963    5.5471363],20.0000,4.0000,[117.79684    -30.185852     0.28587332],20.0000,4.0000,[110.180885   25.119604    1.1276022],20.0000,3.0000,[79.37906  39.488686  5.10891 ],20.0000,6.0000,[68.21967   25.529749   0.9873294],20.0000,3.0000,[95.676125 13.54579   5.683669],20.0000,5.0000,[102.29393   -2.588857   4.72822 ],20.0000,6.0000,[ 91.472755 -16.694338   5.416718],20.0000,5.0000,[126.208046 -45.030697   6.021372],20.0000,4.0000,[ 67.4715    -29.923393    5.3565655],20.0000,5.0000,[84.20219   18.026777   0.9399392],20.0000,3.0000,[69.13119   44.77496    1.5108459],20.0000,3.0000,[110.69401    -24.496853     0.23868103],20.0000,4.0000,[86.60633   36.472992   4.7799554],20.0000,6.0000,[70.95782   6.770207  6.079146],20.0000,4.0000
5,[5.3614564 0.844782  0.4187341],20.0000,0.0000,[ 5.42828   20.195826   6.1701007],20.0000,6.0000,[  5.3952756  -19.385588     0.09787089],20.0000,6.0000,[ 5.3614564 40.844784   0.4187341],20.0000,0.0000,[  5.318525   -38.983814     0.21027258],20.0000,6.0000,[25.434944    0.16573231  0.18636537],20.0000,0.0000,[25.434944   20.165731    0.18636537],20.0000,0.0000,[ 25.395275   -19.385588     0.09787089],20.0000,6.0000,[25.42828   40.195827   6.1701007],20.0000,6.0000,[ 25.391003   -39.31384      0.21300296],20.0000,6.0000,[92.992744 46.95959   5.90056 ],20.0000,5.0000,[ 82.46876   -43.897354    0.5688328],20.0000,3.0000,[135.8681   -15.006953   5.694206],20.0000,4.0000,[ 55.139412  -17.67071     0.2039846],20.0000,4.0000,[ 96.71252  -42.399357   4.872605],20.0000,5.0000,[133.40154    22.47695     5.5471363],20.0000,4.0000,[118.368385  -29.964712    0.2883329],20.0000,4.0000,[110.274055   25.751411    1.0185338],20.0000,3.0000,[79.43085   38.84828    5.2916217],20.0000,6.0000,[68.42652   26.124985   0.8878798],20.0000,3.0000,[96.12387   13.118575   5.8096495],20.0000,5.0000,[102.084984   -3.2029598   4.87893  ],20.0000,6.0000,[ 91.74986   -17.260292    5.5161676],20.0000,5.0000,[126.79795  -45.18877    6.021372],20.0000,4.0000,[ 67.744705 -30.481983   5.472121],20.0000,5.0000,[84.437004   18.611546    0.84048957],20.0000,3.0000,[68.97154   45.39636    1.4198928],20.0000,3.0000,[111.2696     -24.279263     0.23530443],20.0000,4.0000,[86.42943   35.848907   4.9306655],20.0000,6.0000,[71.540596   6.572682   6.0825224],20.0000,4.0000
6,[6.385829   1.2276648  0.11931962],20.0000,6.0000,[ 6.5165906 20.10549    6.2567916],20.0000,6.0000,[  6.482542   -19.288473     0.30829492],20.0000,0.0000,[ 6.385829   41.227665    0.11931962],20.0000,6.0000,[  6.39106  -38.77952    0.416596],20.0000,0.0000,[26.512365    0.34269008  6.175923  ],20.0000,6.0000,[26.512365 20.34269   6.175923],20.0000,6.0000,[ 26.482542   -19.288473     0.30829492],20.0000,0.0000,[26.51659   40.10549    6.2567916],20.0000,6.0000,[ 26.466097   -39.121044     0.43033138],20.0000,0.0000,[93.49466   46.599262   5.9794903],20.0000,5.0000,[ 82.884285  -43.433132    0.5077167],20.0000,3.0000,[136.36714  -15.340344   5.694206],20.0000,4.0000,[ 55.70879   -17.46051     0.2109337],20.0000,4.0000,[ 96.62022  -43.02221    4.947439],20.0000,5.0000,[133.84633    22.074028    5.5471363],20.0000,4.0000,[118.93064   -29.749804    0.2953274],20.0000,4.0000,[110.44648    26.35011     0.9574178],20.0000,3.0000,[79.597466  38.24013    5.4582148],20.0000,5.0000,[68.691315  26.683233   0.8089494],20.0000,3.0000,[96.60555   12.742577   5.9253573],20.0000,5.0000,[101.99151    -3.827245    5.0201745],20.0000,6.0000,[ 92.080025 -17.782543   5.595098],20.0000,5.0000,[127.37765  -45.34411    6.021372],20.0000,4.0000,[ 68.06744  -31.003176   5.577046],20.0000,5.0000,[84.727936  19.156624   0.7615592],20.0000,3.0000,[68.895004  46.01505    1.3722361],20.0000,3.0000,[111.83748    -24.073713     0.24636431],20.0000,4.0000,[86.368355 35.220623  5.07191 ],20.0000,6.0000,[72.11526    6.3869243  6.0714626],20.0000,4.0000
7,[7.4693794  1.3596122  0.19562311],20.0000,6.0000,[ 7.607954   20.08391     0.19213651],20.0000,0.0000,[ 7.53552532e+00 -1.89977512e+01  1.22845955e-02],20.0000,6.0000,[ 7.4693794  41.35961     0.19562311],20.0000,6.0000,[  7.4115376  -38.38818      0.11810023],20.0000,6.0000,[27.601444   0.2611034  6.2629194],20.0000,6.0000,[27.601444  20.261103   6.2629194],20.0000,6.0000,[ 2.75355263e+01 -1.89977512e+01  1.22845955e-02],20.0000,6.0000,[27.607954   40.083908    0.19213651],20.0000,0.0000,[ 27.48773    -38.730167     0.13288398],20.0000,6.0000,[94.019646  46.290905   6.0563507],20.0000,5.0000,[ 83.33161    -43.017075     0.44971785],20.0000,3.0000,[136.86037  -15.669864   5.694206],20.0000,4.0000,[ 56.272633   -17.260702     0.23112652],20.0000,4.0000,[ 96.60078   -43.636814    4.9941096],20.0000,5.0000,[134.28595    21.675789    5.5471363],20.0000,4.0000,[119.486176   -29.537836     0.30310315],20.0000,4.0000,[110.66847    26.919252    0.8994189],20.0000,3.0000,[79.86513  37.679836  5.532835],20.0000,5.0000,[69.00146    27.207172    0.73208904],20.0000,3.0000,[97.11789  12.419092  6.031276],20.0000,4.0000,[101.99769    -4.44771     5.1769247],20.0000,5.0000,[ 92.45108   -18.265268    5.6719584],20.0000,5.0000,[127.950615 -45.497643   6.021372],20.0000,4.0000,[ 68.43556   -31.48566     5.6745825],20.0000,4.0000,[85.06255   19.665283   0.6846988],20.0000,3.0000,[68.8707    46.625008   1.3199979],20.0000,3.0000,[112.39854    -23.87254      0.26078635],20.0000,4.0000,[86.40662  34.601307  5.22866 ],20.0000,6.0000,[72.682945   6.205303   6.0570407],20.0000,4.0000
8,[8.543882   1.5527644  0.40751266],20.0000,0.0000,[ 8.684821 20.26459   6.182481],20.0000,6.0000,[  8.626734   -18.963009     0.09567284],20.0000,6.0000,[ 8.543882   41.552765    0.40751266],20.0000,0.0000,[  8.494153   -38.248325     0.19790445],20.0000,6.0000,[28.69296     0.24830526  0.19875939],20.0000,0.0000,[28.69296    20.248304    0.19875939],20.0000,0.0000,[ 28.626734   -18.963009     0.09567284],20.0000,6.0000,[28.68482  40.26459   6.182481],20.0000,6.0000,[ 28.569908   -38.5874       0.20837206],20.0000,6.0000,[94.563736  46.031334   6.1378736],20.0000,5.0000,[ 83.80407   -42.642006    0.3798158],20.0000,3.0000,[137.34973  -15.996798   5.694206],20.0000,4.0000,[ 56.83076    -17.063232     0.25201455],20.0000,4.0000,[ 96.62992   -44.24106     5.0502815],20.0000,5.0000,[134.72212    21.280672    5.5471363],20.0000,4.0000,[120.03697    -29.32731      0.31023532],20.0000,4.0000,[110.93091    27.462406    0.8295168],20.0000,3.0000,[80.1877    37.16278    5.5844426],20.0000,5.0000,[69.35191    27.697668    0.65056574],20.0000,3.0000,[97.65681   12.15183    6.0380855],20.0000,4.0000,[102.10473    -5.0523543   5.2568345],20.0000,5.0000,[ 92.85812  -18.709929   5.753482],20.0000,5.0000,[128.51909  -45.64997    6.021372],20.0000,4.0000,[ 68.84643   -31.92544     5.6762176],20.0000,4.0000,[85.43586   20.138624   0.6031755],20.0000,3.0000,[68.890854  47.227375   1.2510644],20.0000,3.0000,[112.954285   -23.672531     0.27411446],20.0000,4.0000,[86.5422    34.00154    5.4003286],20.0000,5.0000,[73.245285   6.024664   6.0437126],20.0000,4.0000
9,[9.566676   1.937589   0.11113811],20.0000,6.0000,[ 9.774161 20.187685  6.269291],20.0000,6.0000,[  9.713552   -18.861416     0.31148565],20.0000,0.0000,[ 9.566676   41.937588    0.11113811],20.0000,6.0000,[  9.566614  -38.04475     0.4115387],20.0000,0.0000,[29.768242    0.43793383  6.1894016 ],20.0000,6.0000,[29.768242  20.437933   6.1894016],20.0000,6.0000,[ 29.713552   -18.861416     0.31148565],20.0000,0.0000,[29.774162 40.187687  6.269291],20.0000,6.0000,[ 29.642607   -38.384094     0.41985565],20.0000,0.0000,[95.12456 45.82083  6.22456],20.0000,4.0000,[ 84.30107   -42.308064    0.2981615],20.0000,3.0000,[137.83649  -16.321991   5.694206],20.0000,4.0000,[ 57.384266  -16.865232    0.2693968],20.0000,4.0000,[ 96.70314   -44.835808    5.1229577],20.0000,5.0000,[135.15598    20.887661    5.5471363],20.0000,4.0000,[120.584465   -29.117546     0.31634346],20.0000,4.0000,[111.23334    27.979193    0.7478626],20.0000,3.0000,[80.54669  36.680035  5.64479 ],20.0000,5.0000,[69.740776 28.153322  0.56388 ],20.0000,4.0000,[98.19928   11.908122   6.0087323],20.0000,4.0000,[102.27568    -5.6331825   5.3161817],20.0000,5.0000,[ 93.29908   -19.115376    5.8401675],20.0000,4.0000,[129.08453  -45.80149    6.021372],20.0000,4.0000,[ 69.26751   -32.34538     5.6441746],20.0000,4.0000,[85.84586   20.575346   0.5164898],20.0000,4.0000,[68.95709   47.82209    1.1684947],20.0000,3.0000,[113.50616    -23.472569     0.28512654],20.0000,4.0000,[86.77765   33.437317   5.4876037],20.0000,5.0000,[73.80375    5.843935   6.0327005],20.0000,4.0000
