step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
0,[ 0. 40.  0.],20.0000,6.0000,[0. 0. 0.],20.0000,0.0000,[  0. -40.   0.],20.0000,6.0000,[ 40. -40.   0.],20.0000,4.0000,[40. 40.  0.],20.0000,4.0000
1,[ 1. 40.  0.],20.0000,6.0000,[1. 0. 0.],20.0000,6.0000,[  1. -40.   0.],20.0000,6.0000,[ 40. -40.   0.],20.0000,4.0000,[40. 40.  0.],20.0000,4.0000
2,[ 2.091554   39.949398    0.24676664],20.0000,6.0000,[2.091554   0.08965447 0.07297001],20.0000,6.0000,[  2.091554   -40.050602     0.24676664],20.0000,0.0000,[ 40.69718 -40.        0.     ],20.0000,4.0000,[40.69718 40.       0.     ],20.0000,4.0000
3,[ 3.1759493 40.113182   0.5058002],20.0000,6.0000,[3.1760414  0.2261542  0.30138004],20.0000,0.0000,[  3.1715932 -39.869526    6.238434 ],20.0000,6.0000,[ 41.350296 -40.         0.      ],20.0000,4.0000,[41.350296 40.        0.      ],20.0000,4.0000
4,[ 4.205006  40.508114   0.7502734],20.0000,6.0000,[4.214351   0.56318015 0.01959706],20.0000,6.0000,[ 4.2613025e+00 -3.9935131e+01  2.6210587e-02],20.0000,6.0000,[ 41.977345 -40.         0.      ],20.0000,4.0000,[41.977345 40.        0.      ],20.0000,4.0000
5,[ 5.127201  41.119644   0.9665978],20.0000,6.0000,[5.304333   0.65402555 0.11286999],20.0000,6.0000,[  5.3534303  -39.942764     0.23521681],20.0000,0.0000,[ 42.588062 -40.         0.      ],20.0000,4.0000,[42.588062 40.        0.      ],20.0000,4.0000
6,[ 5.904924  41.909145   1.1564748],20.0000,6.0000,[6.384793   0.81355864 0.3418755 ],20.0000,0.0000,[  6.4304733 -39.75325     6.2189875],20.0000,6.0000,[ 43.188213 -40.         0.      ],20.0000,4.0000,[43.188213 40.        0.      ],20.0000,4.0000
7,[ 6.519061  42.831505   1.3313377],20.0000,6.0000,[7.414452   1.1759186  0.05578372],20.0000,6.0000,[ 7.5199080e+00 -3.9821255e+01  1.2105817e-02],20.0000,0.0000,[ 43.781395 -40.         0.      ],20.0000,4.0000,[43.781395 40.        0.      ],20.0000,4.0000
8,[ 6.959681  43.847546   1.5021853],20.0000,6.0000,[8.501304   1.2905529  0.14701839],20.0000,6.0000,[  8.6114   -39.809597   5.956629],20.0000,6.0000,[ 44.36992 -40.        0.     ],20.0000,4.0000,[44.36992 40.       0.     ],20.0000,4.0000
9,[ 7.2181773 44.92391    1.6746097],20.0000,0.0000,[9.577516   1.4745371  0.37119347],20.0000,0.0000,[  9.667511  -40.09407     6.0352435],20.0000,6.0000,[ 44.955315 -40.         0.      ],20.0000,4.0000,[44.955315 40.        0.      ],20.0000,4.0000
10,[ 7.269163  46.026684   1.2991167],20.0000,6.0000,[10.599726    1.8576337   0.08173379],20.0000,6.0000,[ 10.735468  -40.3233      6.2590046],20.0000,0.0000,[ 45.538586 -40.         0.      ],20.0000,4.0000,[45.538586 40.        0.      ],20.0000,4.0000
11,[ 7.606189  47.06591    1.3087021],20.0000,6.0000,[11.683932    1.9919478   0.17128213],20.0000,6.0000,[ 11.826705  -40.349583    5.9719844],20.0000,6.0000,[ 46.12042 -40.        0.     ],20.0000,4.0000,[46.12042 40.       0.     ],20.0000,4.0000
12,[ 7.937286  48.10724    1.4909536],20.0000,6.0000,[12.756542    2.1951728   0.39301056],20.0000,0.0000,[ 12.883533  -40.628773    6.0632024],20.0000,6.0000,[ 46.701275 -40.         0.      ],20.0000,4.0000,[46.701275 40.        0.      ],20.0000,4.0000
13,[ 8.114409  49.188107   1.7315782],20.0000,0.0000,[13.772349    2.5951777   0.10200365],20.0000,6.0000,[ 1.3954823e+01 -4.0839943e+01  5.1444517e-03],20.0000,0.0000,[ 47.281464 -40.         0.      ],20.0000,4.0000,[47.281464 40.        0.      ],20.0000,4.0000
14,[ 8.057174  50.28464    1.4267653],20.0000,6.0000,[14.854109   2.7465737  0.1905104],20.0000,6.0000,[ 15.046417 -40.84532    5.999616],20.0000,6.0000,[ 47.861195 -40.         0.      ],20.0000,4.0000,[47.861195 40.        0.      ],20.0000,4.0000
15,[ 8.249083 51.35978   1.48067 ],20.0000,6.0000,[15.923377   2.9664223  0.4109316],20.0000,0.0000,[ 16.107737 -41.104877   6.089624],20.0000,6.0000,[ 48.440613 -40.         0.      ],20.0000,4.0000,[48.440613 40.        0.      ],20.0000,4.0000
